NAME,INSTAGRAM ID,FOLLOWERS,FOLLOWERS IN NUMBER,AVERAGE VIEWS,MAXIMUM VIEWS,MINIMUM VIEWS,TOP CITY,STATE,INDIAN AUDIENCE,AGE GROUP,LINK CLICK DATA,ENGAGEMENT RATE,PROOF DRIVE LINK,Niche,SCRIPT_SUGGESTIONS,SCRIPT_SELECTED,APPROVAL_STATUS
DINDORI VIEW,https://www.instagram.com/dindori_view,70K,70000,67141,330000,13700,DINDORI,Madhya Pradesh,99.90%,18-35,99,2.40%,https://drive.google.com/drive/folders/1NSXdJUEP3z3mbrDgLxKcuhyNz3PkXz8z,Local City Page,,,
SINGRAULI SOCIAL,https://www.instagram.com/singraulisocial,75K,75000,5230,21000,3368,SINGRAULI,Madhya Pradesh,,, ,2.90%,,Local City Page,,,
SHAHDOL SOCIAL,https://www.instagram.com/shahdol_social,75K,75000,29050,45900,5184,SHAHDOL,Madhya Pradesh,99.80%,24-35,,1.75%,https://drive.google.com/drive/folders/16EayHt9hQgi9oQGfqmheO-xMK0cVflXo,Local City Page,,,
SATNA WALE,https://www.instagram.com/satna.wale_,78.8K,78800,30930,250000,13200,SATNA,Madhya Pradesh,97.90%,24-35,,1.73%,https://drive.google.com/drive/folders/14-aE5-DWczANl1ISWUmneecohqJpQQnI,Local City Page,,,
SEONI CITY,https://www.instagram.com/seoni_city,82K,82000,32110,178000,3706,SEONI,Madhya Pradesh,,, ,4.10%,,Local City Page,,,
VIDUR SHARMA,https://www.instagram.com/indorereelgramofficial,84K,84000,30940,231000,2192,INDORE,Madhya Pradesh,99.50%,25-34,134,1.60%,https://drive.google.com/drive/folders/1YZeuZ3u1Ri6dmTpyVm55aYP4ucR0Ace_,Local City Page,,,
BARWANI GLAMOUR,https://www.instagram.com/barwani_glamour,86K,86000,39900,135000,5500,BARWANI,Madhya Pradesh,99.80%,25-34,,2.81%,https://drive.google.com/drive/folders/1TtjSvipgIVKndNyYo2eVKQSkZPsavdS0,Local City Page,,,
INDORI RAMA,https://www.instagram.com/indorirama,86K,86000,13040,21200,3602,INDORE,Madhya Pradesh,99.30%,25-34,,3.71%,https://drive.google.com/drive/folders/1J3eUyRWAEedBqT4XDe9sJG1hrfe_kiOX,Local City Page,,,
UJJAIN CLICK,https://www.instagram.com/ujjain_click,89K,89000,37300,146000,4000,UJJAIN,Madhya Pradesh,99.60%,25-34,,1.74%,https://drive.google.com/drive/folders/1nnJ6MyxTidF5gOAR_lFXAJ_6AxLu6h_0,Local City Page,,,
SINGRAULI OFFICIAL PAGE,https://www.instagram.com/singrauli_official_page_,93K,93000,102700,309000,33100,DUDHICHUA,Madhya Pradesh,99.10%,25-34,31,3.10%,https://drive.google.com/drive/folders/1P2-6mYgOz3JBNzqGKj0olTU3cawCLnz_,Local City Page,,,
PRANJAL KHANDWA,https://www.instagram.com/apnakhandwa_,99K,99000,36900,63500,18700,KHANDWA,Madhya Pradesh,99.80%,25-34,69,21.06%,https://drive.google.com/drive/folders/1Z2v3YpakSGA_gZTIh05xhobyfNW8JRO9,Local City Page,,,
KHARGONE CITY MP,https://www.instagram.com/khargone__city_mp_10,100K,100000,50800,118000,14800,KHARGONE,Madhya Pradesh,95%+,18-35,11,2.36%,https://drive.google.com/drive/folders/1p8ufBJLtlpNpGH1d_QA02Jwy9FIKZvJf,Local City Page,,,
ABHAY PANDAY,https://www.instagram.com/satna__se__rewa__,103K,103000,64500,183000,5100,REWA,Madhya Pradesh,99%,18-35,,2.79%,https://drive.google.com/drive/folders/14jg51I8SfQcJiAjF84PbAB_qCvlIjSrf,Regional Influencer,,,
NITIN SHARMA,https://www.instagram.com/wanderwithnitin,118K,118000,492000,1800000,16100,INDORE,Madhya Pradesh,94.80%,24-35,,1.50%,https://drive.google.com/drive/folders/1FiH4gYed5Zjb8Hh0bno8c1HVoaRf9qrC,Travel Creator,,,
VIJAY BAIRAGI,https://www.instagram.com/vidisha_shahar,130K,130000,84600,309000,4300,VIDISHA,Madhya Pradesh,99.60%,25-34,,2.85%,https://drive.google.com/drive/folders/1_ohnfoljQAlXO3Jm59_7U3Vl1e1Bi45Y,Local City Page,,,
MR MANDLA WALE,https://www.instagram.com/mr_mandla_wale,131K,131000,42300,51100,16300,MANDLA,Madhya Pradesh,,, ,2.70%,,Local City Page,,,
AMBEE TRIPATHI,https://www.instagram.com/rewa__satna,132K,132000,41800,100000,12100,REWA,Madhya Pradesh,99.90%,25-34,,7.34%,https://drive.google.com/drive/folders/10ulVH94QfvP_ilq-Tn16J_wPDLec9L1j,Regional Influencer,,,
HUMARA BHOPAL,https://www.instagram.com/hamara_bhopal12,134K,134000,36200,156000,1900,BHOPAL,Madhya Pradesh,99.50%,25-34,,1.84%,https://drive.google.com/drive/folders/1kUx2oHItejRTs_4DlG63B5crJLc7Bklw,Local City Page,,,
MAIHAR NAGRI,https://www.instagram.com/maiharnagari,151K,151000,,147000,13700,MAIHAR,Madhya Pradesh,98%+,24-35,,1.50%,https://drive.google.com/drive/folders/1PBil2Y6ytzi7ckIWVD8oPBObzHcWjt6t,Local City Page,,,
